source,contract_id,as_of_date,as_of_ts,snapshot_ts,observation_method,implied_probability,yes_price,no_price,volume,liquidity,open_interest,active,tradable
kalshi,AMAZONFTC-29DEC31,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.62,0.62,0.38,20023.0,0.0,6137.0,True,True
kalshi,APPLEUS-29DEC31,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.325,0.325,0.675,46613.0,0.0,7782.0,True,True
kalshi,BEYONCEGENRE-30-AFA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.29,0.29,0.71,888.0,0.0,164.0,True,True
kalshi,BEYONCEGENRE-30-DEA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.12,0.12,0.88,139.0,0.0,35.0,True,True
kalshi,BEYONCEGENRE-30-RA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.18,0.18,0.82,126.0,0.0,2.0,True,True
kalshi,BEYONCEGENRE-30-TAA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.16,0.16,0.84,661.0,0.0,367.0,True,True
kalshi,BEYONCEGENRE-30-TCA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.13,0.13,0.87,737.0,0.0,289.0,True,True
kalshi,BEYONCEGENRE-30-TGA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.22,0.22,0.78,1071.0,0.0,55.0,True,True
kalshi,BEYONCEGENRE-30-THA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.07,0.07,0.93,629.0,0.0,11.0,True,True
kalshi,BEYONCEGENRE-30-TRA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.775,0.775,0.225,5414.0,0.0,2245.0,True,True
kalshi,BEYONCEGENRE-30-TRHA,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.475,0.475,0.525,3918.0,0.0,1257.0,True,True
kalshi,CHINAUSGDP-30,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.25,0.25,0.75,78120.0,0.0,18508.0,True,True
kalshi,CONTROLH-2026-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.845,0.845,0.155,3248117.0,0.0,2269678.0,True,True
kalshi,CONTROLH-2026-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.145,0.145,0.855,3497073.0,0.0,1907215.0,True,True
kalshi,CONTROLS-2026-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.505,0.505,0.495,1205206.0,0.0,848995.0,True,True
